,Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Landing over 50ft,Empty weight lbs,Price,Total_Length_in,Total_Span_in
0,100 Darter (S.L. Industries),Piston,145.0,104.0,91.0,46.0,36,450.0,2050.0,1180.0,1300000.0,303.0,449.0
1,7 CCM Champ,Piston,85.0,89.0,83.0,44.0,15,600.0,1350.0,820.0,1230000.0,247.0,433.0
2,100 Darter (S.L. Industries),Piston,90.0,90.0,78.0,37.0,19,650.0,1300.0,810.0,1600000.0,257.0,420.0
3,7 AC Champ,Piston,85.0,88.0,78.0,37.0,19,620.0,1300.0,800.0,1300000.0,257.0,420.0
4,100 Darter (S.L. Industries),Piston,65.0,83.0,74.0,33.0,14,370.0,1220.0,740.0,1250000.0,257.0,420.0
5,PA-60-700P Aerostar (preliminary),Piston,65.0,78.0,72.0,33.0,15,360.0,1250.0,786.0,1100000.0,244.0,433.0
6,"PA-601P pressurized Aerostar ('77 service ceiling=26,350)",Piston,350.0,264.0,230.0,80.0,165,1820.0,6315.0,4275.0,2500000.0,418.0,440.0
7,100 Darter (S.L. Industries),Piston,290.0,262.0,247.0,77.0,165,1755.0,6000.0,4125.0,2800000.0,417.0,439.0
8,"PA-601, 601A, turbochg Aerostar",Piston,290.0,257.0,235.0,77.0,165,1460.0,6000.0,4056.0,2500000.0,418.0,440.0
9,100 Darter (S.L. Industries),Piston,290.0,257.0,237.0,77.0,165,1460.0,6000.0,3958.0,3000000.0,418.0,440.0
10,G164B-600 AG-CAT (design category) sprayer,Piston,290.0,271.0,236.0,69.0,174,1700.0,5700.0,3750.0,3010000.0,418.0,410.0
11,100 Darter (S.L. Industries),Piston,290.0,220.0,212.0,74.0,165,1800.0,5500.0,3737.0,2120000.0,418.0,410.0
13,100 Darter (S.L. Industries),Piston,600.0,128.0,96.0,59.0,46,1600.0,4500.0,3160.0,1450000.0,292.0,431.0
15,A-2,Piston,450.0,128.0,91.0,52.0,46,1060.0,4500.0,3100.0,1450000.0,307.0,507.0
16,100 Darter (S.L. Industries),Piston,450.0,128.0,91.0,58.0,46,990.0,4500.0,2870.0,1400000.0,292.0,431.0
17,415-G,Piston,300.0,128.0,74.0,54.0,46,700.0,3750.0,2410.0,1150000.0,292.0,428.0
18,CH-601-XL/i/650-LS/i,Piston,275.0,114.0,74.0,54.0,33,600.0,3750.0,2400.0,1025000.0,292.0,428.0
19,8KCAB-150 F/P prop(w/optional speed kit),Piston,245.0,114.0,70.0,54.0,33,496.0,3750.0,2300.0,850000.0,292.0,428.0
20,7KCAB,Piston,220.0,114.0,70.0,48.0,33,435.0,3600.0,2200.0,700000.0,292.0,428.0
21,7GCAA,Piston,90.0,112.0,108.0,37.0,24,640.0,1450.0,930.0,1730000.0,242.0,360.0
22,100 Darter (S.L. Industries),Piston,90.0,113.0,104.0,50.0,24,600.0,1400.0,900.0,1600000.0,241.0,360.0
23,7GCBC with EDO floats,Piston,85.0,99.0,96.0,50.0,24,550.0,1400.0,833.0,1350000.0,241.0,360.0
24,7EC,Piston,100.0,120.0,113.0,38.0,30,1000.0,1320.0,770.0,1200000.0,240.0,324.0
25,Starship 2000 (2000A=increased spds & weights),Piston,150.0,147.0,137.0,52.0,40,1000.0,1800.0,1260.0,1600000.0,275.0,384.0
26,King Air 260,Piston,150.0,116.0,109.0,43.0,39,1120.0,1650.0,1140.0,1700000.0,271.0,413.0
27,B200 Super King Air,Piston,150.0,109.0,103.0,37.0,37,1140.0,1650.0,1050.0,1810000.0,273.0,413.0
28,100 Darter (S.L. Industries),Piston,150.0,113.0,109.0,43.0,39,1120.0,1650.0,1140.0,1700000.0,272.0,401.0
29,"B100 King Air (prior '79 serv. ceiling=29,100)",Piston,150.0,113.0,111.0,39.0,35,1145.0,1650.0,1150.0,1700000.0,272.0,411.0
30,100 Darter (S.L. Industries),Piston,150.0,97.0,90.0,46.0,39,800.0,1800.0,1290.0,1600000.0,271.0,414.0
31,100 King Air,Piston,115.0,109.0,107.0,44.0,35,725.0,1650.0,1067.0,1200000.0,272.0,401.0
32,100 Darter (S.L. Industries),Piston,90.0,117.0,97.0,38.0,26,700.0,1450.0,820.0,1550000.0,258.0,421.0
33,F90 King Air,Piston,60.0,85.0,75.0,38.0,13,400.0,1220.0,750.0,850000.0,263.0,421.0
34,"C90A King Air (LJ-1063 up) (10,100 g/w=SN1138 up)",Piston,160.0,168.0,160.0,63.0,80,1160.0,3800.0,2588.0,1740000.0,355.0,441.0
35,100 Darter (S.L. Industries),Piston,180.0,148.0,139.0,53.0,51,850.0,2400.0,1360.0,1380000.0,264.0,378.0
36,100 Darter (S.L. Industries),Piston,150.0,136.0,127.0,52.0,37,660.0,2200.0,1323.0,1265000.0,264.0,378.0
37,A 90 King Air,Piston,150.0,130.0,122.0,50.0,38,660.0,2200.0,1271.0,1265000.0,264.0,377.0
38,100 Darter (S.L. Industries),Piston,108.0,120.0,108.0,52.0,24,705.0,1560.0,975.0,1275000.0,230.0,293.0
39,88 Queen Air pressurized,Piston,108.0,120.0,109.0,51.0,24,765.0,1500.0,1007.0,1375000.0,231.0,293.0
40,B 80 Queen Air - specs thru 1972,Piston,100.0,90.0,84.0,33.0,20,700.0,1320.0,845.0,1500000.0,269.0,426.0
41,80 Queen Air,Piston,180.0,126.0,113.0,36.0,52,1500.0,1800.0,1190.0,2000000.0,271.0,426.0
42,A 65 Queen Air,Piston,600.0,122.0,96.0,61.0,54,1000.0,6000.0,3400.0,1500000.0,352.0,532.0
43,B 60 Duke pressurized (prior '78 t/o run=2006),Piston,600.0,122.0,108.0,57.0,100,900.0,6000.0,3700.0,1500000.0,352.0,532.0
44,60 Duke Pressurized,Propjet,750.0,138.0,130.0,57.0,190,1740.0,6000.0,3600.0,2500000.0,396.0,533.0
47,C 50 Twin Bonanza,Propjet,1200.0,335.0,328.0,60.766877637130804,560,3225.0,14400.0,9887.0,3480000.0,553.0,653.0
48,50 Twin Bonanza,Propjet,1050.0,314.0,303.0,60.766877637130804,539,2979.0,15000.0,9051.0,3500000.0,560.0,695.0
49,58 P Baron-press.('77 hgt=9/6) (range based on 190 gal fuel),Propjet,850.0,310.0,259.0,80.0,3645,2437.0,12590.0,8830.0,3500000.0,526.0,695.0
50,58 TC Baron (325) turbochg-non-pressurized,Propjet,850.0,294.0,279.0,75.0,544,2450.0,12500.0,7538.0,3500000.0,525.0,654.0
51,100 Darter (S.L. Industries),Propjet,850.0,290.0,272.0,75.0,544,2450.0,12500.0,7538.0,3288000.0,525.0,654.0
52,58 Baron (300 hp),Propjet,715.0,265.0,258.0,83.0,470,1963.0,11800.0,7082.0,2485000.0,479.0,551.0
53,100 Darter (S.L. Industries),Propjet,680.0,248.0,235.0,75.0,470,1963.0,11500.0,6797.0,2485000.0,479.0,551.0
54,A56TC Turbo Baron,Propjet,680.0,248.0,239.0,73.0,374,2200.0,10600.0,6440.0,2590000.0,477.0,550.0
55,100 Darter (S.L. Industries),Propjet,750.0,279.0,265.0,79.0,470,2455.0,10950.0,6647.0,3045000.0,478.0,551.0
56,E 55 Baron ('70-'72 fuel=142 gal opt),Propjet,750.0,267.0,261.0,77.0,470,2380.0,10950.0,6549.0,2980200.0,478.0,551.0
57,100 Darter (S.L. Industries),Propjet,550.0,250.0,245.0,77.0,474,1870.0,10100.0,5996.0,2762000.0,426.0,603.0
58,B 55 Baron (1978 & up),Propjet,550.0,247.0,240.0,75.0,384,2137.0,10100.0,5765.0,3000000.0,426.0,603.0
59,100 Darter (S.L. Industries),Propjet,550.0,223.0,217.0,76.0,384,1955.0,9650.0,5765.0,2810000.0,426.0,603.0
60,100 Darter (S.L. Industries),Propjet,550.0,223.0,219.0,74.0,384,2000.0,9650.0,5685.0,2720000.0,438.0,603.0
61,E 95 Travel Air (fuel inj.),Propjet,550.0,223.0,216.0,77.0,384,1900.0,9300.0,5680.0,3020000.0,426.0,541.0
62,100 Darter (S.L. Industries),Propjet,500.0,243.0,235.0,75.0,384,2000.0,9000.0,5680.0,2840000.0,426.0,541.0
63,"95, B95 Travel Air (95 = 4,000 lb. gross)",Piston,380.0,214.0,192.0,71.0,264,1275.0,8800.0,6035.0,2680000.0,426.0,603.0
64,100 Darter (S.L. Industries),Piston,380.0,216.0,196.0,70.0,200,1275.0,8800.0,5277.0,2680000.0,426.0,603.0
65,B 36 TC Bonanza,Piston,380.0,216.0,195.0,71.0,214,1275.0,8800.0,5120.0,2680000.0,426.0,603.0
66,100 Darter (S.L. Industries),Piston,380.0,219.0,200.0,70.0,214,1585.0,8500.0,4900.0,2850000.0,426.0,603.0
67,A 36 Bonanza (300 hp),Piston,380.0,208.0,191.0,67.0,230,1300.0,8000.0,4800.0,2800000.0,422.0,603.0
68,100 Darter (S.L. Industries),Piston,340.0,208.0,186.0,70.0,214,1375.0,8200.0,4995.0,3000000.0,426.0,604.0
69,36 Bonanza,Piston,340.0,208.0,186.0,70.0,214,1300.0,7700.0,4980.0,3130000.0,426.0,550.0
70,100 Darter (S.L. Industries),Piston,340.0,200.0,186.0,70.0,180,1300.0,7700.0,4640.0,2700000.0,399.0,550.0
71,V 35B Bonanza ('80 & up=fuel std 74 gal),Piston,380.0,246.0,233.0,73.0,142,1601.0,6775.0,4425.0,3000000.0,406.0,471.0
72,100 Darter (S.L. Industries),Piston,380.0,249.0,240.0,76.0,142,1601.0,6775.0,4175.0,3080000.0,406.0,471.0
73,V 35 TC Turbo Bonanza,Piston,380.0,249.0,236.0,76.0,142,1615.0,6725.0,4100.0,3130000.0,406.0,471.0
74,100 Darter (S.L. Industries),Piston,450.0,204.0,191.0,76.0,198,1400.0,9900.0,5845.0,2030000.0,422.0,596.0
75,S 35 Bonanza,Piston,450.0,200.0,186.0,73.0,275,1410.0,9700.0,5910.0,2140000.0,421.0,594.0
76,100 Darter (S.L. Industries),Piston,450.0,203.0,187.0,71.0,206,1250.0,9300.0,6150.0,2300000.0,397.0,571.0
77,"K,M 35 Bonanza",Piston,450.0,200.0,183.0,67.0,206,1190.0,8750.0,5770.0,2050000.0,397.0,571.0
78,100 Darter (S.L. Industries),Piston,340.0,204.0,180.0,72.0,180,1270.0,7300.0,4480.0,2950000.0,377.0,549.0
79,H 35 Bonanza,Piston,340.0,209.0,184.0,72.0,180,1320.0,7000.0,4460.0,2950000.0,377.0,549.0
80,100 Darter (S.L. Industries),Piston,295.0,186.0,178.0,62.0,134,1450.0,6300.0,4100.0,2000000.0,377.0,549.0
81,"C, D 35 Bonanza",Piston,275.0,178.0,161.0,60.0,134,1450.0,6000.0,3956.0,2000000.0,377.0,542.0
82,100 Darter (S.L. Industries),Piston,260.0,177.0,159.0,60.0,134,1450.0,6000.0,3940.0,2000000.0,377.0,542.0
83,35 Bonanza,Piston,260.0,177.0,158.0,56.0,134,1450.0,5500.0,3800.0,1900000.0,377.0,542.0
84,100 Darter (S.L. Industries),Piston,325.0,261.0,232.0,78.0,166,1475.0,6200.0,4026.0,2500000.0,359.0,454.0
85,F & E 33-C Bonanza (conventional tail),Piston,310.0,256.0,214.0,79.0,166,1529.0,6100.0,3985.0,2500000.0,358.0,454.0
86,100 Darter (S.L. Industries),Piston,310.0,231.0,207.0,79.0,166,1424.0,6100.0,3985.0,2500000.0,358.0,454.0
87,E 33 A Bonanza (conventional tail),Piston,325.0,261.0,232.0,78.0,166,1475.0,6200.0,3788.0,2500000.0,359.0,454.0
88,100 Darter (S.L. Industries),Piston,310.0,250.0,214.0,79.0,166,1461.0,6100.0,3780.0,2500000.0,358.0,454.0
89,C 33 A Debonair,Piston,300.0,208.0,195.0,74.0,136,1750.0,5500.0,3443.0,2068800.0,358.0,454.0
90,100 Darter (S.L. Industries),Piston,285.0,208.0,195.0,74.0,136,1660.0,5400.0,3361.0,1860000.0,358.0,454.0
91,"A,B 33 Debonair",Piston,380.0,252.0,247.0,73.0,142,2020.0,5990.0,3700.0,3220000.0,348.0,454.0
92,100 Darter (S.L. Industries),Piston,380.0,252.0,247.0,73.0,142,2020.0,5990.0,3650.0,3220000.0,339.0,454.0
93,"C-24R Sierra 200 (prior'78 svc. ceil=16,400)",Piston,285.0,208.0,195.0,73.0,100,1682.0,5300.0,3291.0,1910000.0,348.0,454.0
94,100 Darter (S.L. Industries),Piston,285.0,210.0,200.0,67.0,112,1670.0,5300.0,3075.0,2090000.0,339.0,454.0
95,A-24R Sierra 200,Piston,260.0,201.0,184.0,73.0,100,1693.0,5100.0,3236.0,1930000.0,336.0,454.0
96,100 Darter (S.L. Industries),Piston,260.0,205.0,196.0,68.0,112,1670.0,5100.0,3075.0,1970000.0,324.0,454.0
97,C 23 Sundowner (pre '76 fuel=52 gal) pre'82=less mph,Piston,260.0,200.0,191.0,66.0,112,1700.0,4880.0,2960.0,1950000.0,317.0,452.0
98,100 Darter (S.L. Industries),Piston,260.0,200.0,191.0,66.0,112,1630.0,4880.0,2960.0,1920000.0,307.0,452.0
99,"A 23, A23A Musketeer (A=2,400 lb gross)",Piston,180.0,183.0,174.0,61.0,80,1250.0,4200.0,2650.0,1810000.0,301.0,445.0
100,100 Darter (S.L. Industries),Piston,180.0,183.0,174.0,61.0,80,1250.0,4200.0,2635.0,1810000.0,303.0,445.0
101,B 19 Sport 150 (76' & prior fuel=52 gal),Piston,180.0,183.0,170.0,61.0,80,1250.0,4100.0,2635.0,1810000.0,303.0,453.0
102,100 Darter (S.L. Industries),Piston,180.0,171.0,158.0,60.0,100,1248.0,3900.0,2460.0,1965000.0,348.0,456.0
103,77 Skipper ('79-'80 height=7/11),Piston,300.0,213.0,190.0,57.0,102,1049.0,3850.0,2338.0,2500000.0,330.0,454.0
104,"17-31 ATC Turbo, 300-Lyc. (prior '78=8 gal less)",Piston,300.0,214.0,190.0,57.0,74,1165.0,3650.0,2278.0,2500000.0,330.0,402.0
105,"17-31A, (prior '78=8 gal less fuel + 6 mph less)",Piston,300.0,184.0,169.0,59.0,74,1210.0,3650.0,2247.0,1850000.0,330.0,402.0
106,100 Darter (S.L. Industries),Piston,285.0,179.0,168.0,52.0,74,1030.0,3600.0,2195.0,1660000.0,330.0,402.0
107,"17-30A, (1979 & up; 1993 & up + 5 mph; IO-550 +6 mph)",Piston,285.0,177.0,170.0,56.0,50,1015.0,3600.0,1980.0,1600000.0,316.0,394.0
108,100 Darter (S.L. Industries),Piston,285.0,217.0,200.0,55.0,50,1225.0,3400.0,2027.0,2950000.0,316.0,401.0
109,17-30-300 Viking (Continental eng),Piston,285.0,182.0,172.0,51.0,74,1167.0,3400.0,1525.0,1785800.0,317.0,402.0
110,100 Darter (S.L. Industries),Piston,285.0,183.0,177.0,55.0,44,1136.0,3400.0,1960.0,1750000.0,316.0,401.0
111,14-19-2 Cruisemaster,Piston,285.0,209.0,195.0,55.0,50,1225.0,3400.0,1950.0,2660000.0,316.0,401.0
112,100 Darter (S.L. Industries),Piston,285.0,183.0,177.0,55.0,50,1136.0,3400.0,1915.0,1750000.0,316.0,401.0
113,14-13 Cruiseair Sr.,Piston,285.0,184.0,178.0,54.0,50,1200.0,3300.0,1915.0,1830000.0,316.0,401.0
114,55 (1984-'85),Piston,260.0,178.0,170.0,52.0,50,1150.0,3125.0,1855.0,1920000.0,302.0,401.0
115,55 (thru 1983),Piston,250.0,183.0,170.0,52.0,49,1170.0,2950.0,1832.0,2000000.0,301.0,401.0
116,100 Darter (S.L. Industries),Piston,250.0,183.0,174.0,50.0,39,1250.0,2900.0,1820.0,2130000.0,301.0,393.0
117,100 Darter (S.L. Industries),Piston,240.0,179.0,165.0,50.0,39,1225.0,2900.0,1820.0,1980000.0,301.0,393.0
118,"36 A (prior'82 = gross weight @ 18,000)",Piston,225.0,169.0,160.0,48.0,39,1300.0,2775.0,1722.0,1900000.0,301.0,393.0
119,36,Piston,205.0,165.0,152.0,48.0,39,1100.0,2700.0,1650.0,1800000.0,301.0,393.0
120,100 Darter (S.L. Industries),Piston,196.0,160.0,148.0,49.0,39,890.0,2650.0,1575.0,1710000.0,301.0,393.0
121,100 Darter (S.L. Industries),Piston,185.0,160.0,150.0,48.0,39,950.0,2550.0,1458.0,1800000.0,301.0,393.0
122,100 Darter (S.L. Industries),Piston,260.0,177.0,168.0,49.0,50,1060.0,3300.0,1935.0,1660000.0,305.0,393.0
123,28 Longhorn,Piston,285.0,181.0,174.0,53.0,50,1200.0,3300.0,1918.0,1830000.0,306.0,393.0
124,"25 D,F w/6 engs=45,000 service ceiling (prior '82 more rate of climb)",Piston,285.0,182.0,172.0,51.0,74,1167.0,3400.0,2125.0,1785800.0,320.0,402.0
125,100 Darter (S.L. Industries),Piston,285.0,181.0,174.0,53.0,50,1200.0,3300.0,1915.0,1830000.0,306.0,394.0
126,25 C (1973 thru 1975),Piston,225.0,170.0,161.0,52.0,50,930.0,3050.0,1862.0,1780000.0,306.0,394.0
127,100 Darter (S.L. Industries),Piston,285.0,181.0,174.0,53.0,50,1200.0,3300.0,1775.0,1830000.0,306.0,394.0
128,"24 F (w/8A engs=51,000 service ceil)",Piston,225.0,170.0,161.0,52.0,50,980.0,3050.0,1854.0,1830000.0,306.0,394.0
129,100 Darter (S.L. Industries),Piston,225.0,170.0,161.0,52.0,50,960.0,3000.0,1745.0,1840000.0,306.0,394.0
130,24 D (1973 thru 1975),Piston,225.0,170.0,161.0,52.0,50,1010.0,2900.0,1730.0,1980000.0,305.0,392.0
131,100 Darter (S.L. Industries),Piston,200.0,145.0,137.0,60.0,57,927.0,2750.0,1696.0,1538500.0,309.0,393.0
132,24 C,Piston,200.0,140.0,131.0,55.0,52,891.0,2750.0,1711.0,1434200.0,308.0,393.0
133,100 Darter (S.L. Industries),Piston,200.0,148.0,141.0,57.0,58,862.0,2750.0,1610.0,1435000.0,308.0,393.0
134,24 Twin Jet,Piston,200.0,137.0,130.0,52.0,60,880.0,2550.0,1410.0,1485000.0,301.0,391.0
135,100 Darter (S.L. Industries),Piston,180.0,128.0,116.0,51.0,57,792.0,2450.0,1494.0,1260000.0,309.0,393.0
136,100 Darter (S.L. Industries),Piston,180.0,127.0,120.0,50.0,60,728.0,2400.0,1375.0,1187000.0,301.0,391.0
137,650 Citation VII,Piston,165.0,127.0,120.0,50.0,60,880.0,2350.0,1325.0,1187000.0,301.0,391.0
138,650 Citation VI,Piston,160.0,123.0,111.0,52.0,60,720.0,2300.0,1300.0,1350000.0,301.0,391.0
139,100 Darter (S.L. Industries),Piston,150.0,110.0,107.0,50.0,57,680.0,2150.0,1414.0,1165000.0,309.0,393.0
140,650 Citation III (thru SN 099),Piston,150.0,122.0,114.0,48.0,60,900.0,2200.0,1325.0,1490000.0,301.0,391.0
141,100 Darter (S.L. Industries),Piston,115.0,106.0,97.0,47.0,29,720.0,1675.0,1103.0,1290000.0,288.0,360.0
142,100 Darter (S.L. Industries),Piston,300.0,193.0,187.0,61.0,68,1170.0,3325.0,2372.0,2400000.0,316.0,410.0
143,100 Darter (S.L. Industries),Piston,300.0,174.0,165.0,61.0,68,1170.0,3325.0,2247.0,1820000.0,316.0,410.0
144,S550 Citation SII,Piston,250.0,193.0,187.0,54.0,72,1800.0,3200.0,2010.0,2400000.0,283.0,410.0
145,Citation II 550 (thru SN 626),Piston,300.0,181.0,176.0,61.0,68,1210.0,3325.0,2185.0,2000000.0,316.0,410.0
146,100 Darter (S.L. Industries),Piston,300.0,166.0,163.0,61.0,60,1085.0,3325.0,2217.0,1700000.0,316.0,410.0
147,Citation CJ3 525B,Piston,300.0,167.0,163.0,54.0,58,1840.0,3200.0,1900.0,2100000.0,283.0,410.0
148,100 Darter (S.L. Industries),Piston,260.0,181.0,177.0,54.0,58,1500.0,3000.0,1750.0,2250000.0,282.0,410.0
149,100 Darter (S.L. Industries),Piston,230.0,179.0,170.0,42.0,40,1400.0,2700.0,1640.0,2000000.0,273.0,410.0
150,Citation I 500,Piston,190.0,174.0,157.0,38.0,40,1250.0,2600.0,1575.0,2150000.0,276.0,410.0
151,100 Darter (S.L. Industries),Piston,150.0,147.0,130.0,38.0,40,1100.0,2100.0,1520.0,1950000.0,254.0,410.0
152,402C Business Liner II,Jet,3700.0,455.0,417.0,60.766877637130804,6707,4059.0,21500.0,12135.0,5100000.0,661.0,525.0
153,"402,-A turbocharged",Jet,3700.0,457.0,198.68553459119497,60.766877637130804,6707,4380.0,19500.0,12130.0,5100000.0,661.0,525.0
154,100 Darter (S.L. Industries),Jet,8650.0,480.0,442.0,60.766877637130804,16665,4200.0,43250.0,19950.0,4100000.0,821.0,742.0
155,100 Darter (S.L. Industries),Jet,7500.0,480.0,442.0,60.766877637130804,14890,3400.0,41400.0,18660.0,4100000.0,821.0,742.0
